,weight,height,BMI,WAR,,,,KG,M,,,,MLB Weight,MLB Height,MLB BMI,Huskies Weight,Huskies Height,Huskies BMI,,,,,,,,Huskies Height,MLB Height,Huskies BMI,MLB BMI,Huskies Weight,MLB Weight,,Huskies Height,MLB Height,Huskies BMI,MLB BMI,,,MLB Weight,MLB BMI,Huskies Weight,Huskies BMI,,,Huskies Weight,MLB Weight,,,Huskies BMI,MLB BMI
25th,172,71,23.98928821,-0.12,,,,78.0192,1.8034,,,-2_,140.9,66.9,22.9,188.3,63.3,29.9,,,,,,,-2_,63.3,66.9,29.9,22.9,188.3,140.8650267,,69.6,72.0,34.3,25.1,,-2_,185.0,25.1,236.5,34.3,,-2_,188.3361131,140.8650267,,,29.88236324,22.89722605
50th,185,72,25.09067518,0,,1.101386973,,83.916,1.8288,,,-1_,162.9,69.5,24.0,212.4,66.4,32.1,,,,,,,-1_,66.4,69.5,32.1,24.0,212.4,162.9325133,,,,,,,-1_,185.0,25.1,236.5,34.3,,-1_,212.4180566,162.9325133,,,32.09101077,23.99861303
75th,200,74,25.67864887,0.56,,,,90.72,1.8796,,,50th,185.0,72.0,25.1,236.5,69.6,34.3,,,,,,,50th,69.6,72.0,34.3,25.1,236.5,185,,,,,,,50th,185.0,25.1,236.5,34.3,,50th,236.5,185,,,34.2996583,25.1
,,,,,,,,,,,,+1_,207.1,74.5,26.2,260.6,72.7,36.5,,,,,,,+1_,72.7,74.5,36.5,26.2,260.6,207.0674867,,,,,,,+1_,185.0,25.1,236.5,34.3,,+1_,260.5819434,207.0674867,,,36.50830583,26.20138697
,,,,,,,,,,,,+2_,229.1,77.1,27.3,260.6,72.7,36.5,,,,,,,+2_,72.7,77.1,36.5,27.3,260.6,229.1349733,,,,,,,+2_,185.0,25.1,236.5,34.3,,+2_,260.5819434,229.1349733,,,36.50830583,27.30277395
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,320,83,32.65873856,20.45,,,,145.152,2.1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,65,43,24.71622034,-5.45,,,,29.484,1.0922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
std,22.06748666,2.546978092,1.101386973,1.43971831,24.08194344,3.151800462,2.208647529,10.00981195,0.064693244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,187.5373044,72.2162643,25.28268794,0.516104287,,,,85.06692129,1.834293113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,24.08194344,3.151800462,2.208647529,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,155,55,31.93003704,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,226.25,69.25,32.77548432,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.117669851,0.03526876,,,,,,,,,,,,,,,,,,,238.5,70.5,33.40309997,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,243.75,71,35.74322359,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,285,71,39.74899162,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9.053814281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,