player,height,weight,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
Alejandro Kirk,68,245,162,549,478,72,139,25,0,22,68,0,0,58,58,0.291,0.374,0.48,0.854,136,229,16,8,0,5,1,C,27,-6,-2,3,5,29,3.1,18,48,4.9,0.519,0.508,4.6,0.8,44
Brayan Pena,69,240,162,495,459,35,119,24,1,6,42,2,2,27,54,0.259,0.299,0.351,0.65,77,161,14,2,3,5,2,C,-14,-3,-1,-2,5,-15,-1.6,17,3,0.1,0.49,0.496,0.3,0.4,5
Pablo Sandoval,70,268,162,593,541,64,150,31,2,18,75,1,2,42,89,0.278,0.33,0.443,0.773,111,240,17,4,0,6,6,1B,8,-1,-1,-3,1,4,0.4,19,23,2.2,0.503,0.504,2.5,-0.2,26
Tyler White,71,238,162,544,481,48,113,30,2,16,65,1,1,55,132,0.236,0.315,0.409,0.725,95,197,9,3,0,4,1,2B,-3,-3,0,-3,-9,-18,-1.6,20,2,0.2,0.489,0.496,0.4,-1.1,5
Josh Phegley,70,225,162,504,467,55,105,28,0,15,68,1,1,23,98,0.225,0.268,0.381,0.649,76,178,14,6,2,5,0,2B,-13,-2,-2,-1,9,-10,-0.8,18,8,0.9,0.494,0.497,0.9,1,10
Donovan Solano,68,210,162,521,477,49,132,24,2,6,48,3,1,30,93,0.276,0.325,0.372,0.697,91,177,10,7,4,4,2,2B,-3,0,1,-5,4,-4,-0.6,17,13,1,0.497,0.498,1.6,-0.2,18
Miguel Tejada,68,210,162,687,629,92,180,35,2,23,97,6,3,41,81,0.285,0.336,0.456,0.791,108,287,21,9,2,5,5,SS,8,1,-1,-4,8,12,1.2,24,37,3.5,0.507,0.508,3.9,0.5,40
Alberto Callaspo,69,220,162,586,527,58,139,25,2,8,55,3,2,52,54,0.265,0.329,0.364,0.693,92,192,15,1,1,5,3,3B,-4,-1,0,-3,2,-7,-0.6,21,15,1.4,0.496,0.499,1.7,0,18
Josh Naylor,71,250,162,536,491,59,126,28,1,17,64,3,1,38,98,0.257,0.313,0.42,0.732,100,206,13,3,0,3,2,OF,-1,0,1,-4,-7,-11,-1.2,18,7,0.6,0.493,0.497,1.1,-1.2,11
Dayan Viciedo,71,240,162,603,562,67,143,24,2,22,71,1,1,32,130,0.254,0.298,0.424,0.722,97,238,19,5,0,4,1,OF,-1,0,-2,-7,-7,-17,-1.8,22,5,0.4,0.488,0.491,1.1,-1.4,12
Harold Ramirez,70,232,162,586,548,66,154,30,2,12,68,4,3,26,102,0.28,0.32,0.41,0.73,99,225,11,7,0,4,2,OF,2,0,1,-8,-6,-12,-1.3,20,8,0.6,0.493,0.495,1.5,-1.5,16
Willians Astudillo,69,225,162,503,479,55,129,19,1,14,62,1,0,10,24,0.27,0.294,0.403,0.697,88,193,21,9,0,5,0,OF,-8,-3,-2,-8,1,-19,-1.8,18,-2,-0.2,0.488,0.495,0.5,-0.5,6
Bob Fothergill,70,230,162,525,479,66,156,33,8,5,85,6,8,30,26,0.325,0.368,0.459,0.828,115,220,,3,13,,,OF,10,-1,0,-2,-6,0,0,20,20,2.1,0.5,0.502,2.3,-0.7,23