player,height,weight,KG,M,BMI,OPS+,Pos,Runs Above Average,Wins Above Average,Wins Above Replacement
Alejandro Kirk,68,245,111.132,1.7272,37.25236689,136,C,29,3.1,4.9
Brayan Pena,69,240,108.864,1.7526,35.44203686,77,C,-15,-1.6,0.1
Pablo Sandoval,70,268,121.5648,1.778,38.45424834,111,1B,4,0.4,2.2
Tyler White,71,238,107.9568,1.8034,33.1944802,95,2B,-18,-1.6,0.2
Josh Phegley,70,225,102.06,1.778,32.28435028,76,2B,-10,-0.8,0.9
Donovan Solano,68,210,95.256,1.7272,31.93060019,91,2B,-4,-0.6,1
Miguel Tejada,68,210,95.256,1.7272,31.93060019,108,SS,12,1.2,3.5
Alberto Callaspo,69,220,99.792,1.7526,32.48853379,92,3B,-7,-0.6,1.4
Josh Naylor,71,250,113.4,1.8034,34.86815147,100,OF,-11,-1.2,0.6
Dayan Viciedo,71,240,108.864,1.8034,33.47342541,97,OF,-17,-1.8,0.4
Harold Ramirez,70,232,105.2352,1.778,33.28875229,99,OF,-12,-1.3,0.6
Willians Astudillo,69,225,102.06,1.7526,33.22690955,88,OF,-19,-1.8,-0.2
Bob Fothergill,70,230,104.328,1.778,33.00178029,115,OF,0,0,2.1